row_id,game_id,ply,orientation,pre_flaw_fen,push_move_uci,pv,san_line,motif,motif_name,depth,solver_color,eval_at_firing,label,rationale,board_url,analysis_url
0011,1874988,35,missed,2kr1br1/1ppqn2p/1p1p4/4p2n/4P3/2PQ3N/P2N1PP1/R1B2RK1 w - - 0 18,d2c4,d7g4 h3g5 h5f4 c1f4 e5f4 d3h3 g8g5 h3g4 g5g4 a2a4 f4f3 a4a5,Qg4 Ng5 Nf4 Bxf4 exf4 Qh3 [Rxg5] Qxg4+ Rxg4 a4 f3 a5,16,capturing-defender,6,black,515,real,Solver is winning (515cp) at the firing node on an already-high-precision motif; the geometry is genuinely present and exploitable.,https://lichess.org/analysis/standard/2kr1br1/1ppqn2p/1p1p4/4p2n/4P3/2PQ3N/P2N1PP1/R1B2RK1_w_-_-_0_18,https://flawchess.com/analysis?game_id=1874988&ply=34
0012,2345386,56,missed,1r4k1/1pR2R2/2n2p1p/p2Np3/8/4P3/Pr4PP/6K1 b - - 4 28,b2a2,d5f6 g8h8 f7h7,Nxf6+ Kh8 [Rh7#],21,arabian-mate,2,white,M1,real,"Forced mate (M1) for the solver at the firing node — a clearly winning, genuine tactic.",https://lichess.org/analysis/standard/1r4k1/1pR2R2/2n2p1p/p2Np3/8/4P3/Pr4PP/6K1_b_-_-_4_28,https://flawchess.com/analysis?game_id=2345386&ply=55
0013,699467,49,allowed,8/2p1kp1p/p3p3/2PP4/4Q3/7P/P1P2r1q/1K1RR3 b - - 0 25,h2h3,d5d6 c7d6 c5d6 e7f6 d6d7 h3g3 d7d8q f6g7 e1g1 f2g2 g1g2 g3g6,d6+ cxd6 cxd6+ Kf6 d7 Qg3 d8=Q+ Kg7 [Rg1] Rg2 Rxg2 Qg6,3,pin,8,white,M5,real,"Forced mate (M5) for the solver at the firing node — a clearly winning, genuine tactic.",https://lichess.org/analysis/standard/8/2p1kp1p/p3p3/2PP4/4Q3/7P/P1P2r1q/1K1RR3_b_-_-_0_25,https://flawchess.com/analysis?game_id=699467&ply=49
0014,1560532,27,allowed,rn2k2r/4nppp/p1p1p3/1p6/1b1q4/2N2B2/PPPBQPPP/R3R1K1 b kq - 3 14,e7d5,c3d5 c6d5 c2c3 d4c4 c3b4 c4e2 f3e2 b8c6 e1c1 e8d7 d2c3 e6e5,[Nxd5] cxd5 c3 Qc4 cxb4 Qxe2 Bxe2 Nc6 Rec1 Kd7 Bc3 e5,3,pin,0,white,436,real,Solver is winning (436cp) at the firing node on an already-high-precision motif; the geometry is genuinely present and exploitable.,https://lichess.org/analysis/standard/rn2k2r/4nppp/p1p1p3/1p6/1b1q4/2N2B2/PPPBQPPP/R3R1K1_b_kq_-_3_14,https://flawchess.com/analysis?game_id=1560532&ply=27
0015,1434990,43,allowed,r1b1rnk1/1p5p/p1p3p1/2Ppq3/1P1N1p2/P3PB1P/2Q2PP1/4RRK1 b - - 1 22,f4e3,e1e3 e5d4 e3e8 c8f5 c2e2 a8e8 e2e8 d4c3 e8e7 f8e6 f3g4 f5g4,Rxe3 Qxd4 [Rxe8] Bf5 Qe2 Rxe8 Qxe8 Qc3 Qe7 Ne6 Bg4 Bxg4,4,skewer,2,white,394,real,Solver is winning (394cp) at the firing node on an already-high-precision motif; the geometry is genuinely present and exploitable.,https://lichess.org/analysis/standard/r1b1rnk1/1p5p/p1p3p1/2Ppq3/1P1N1p2/P3PB1P/2Q2PP1/4RRK1_b_-_-_1_22,https://flawchess.com/analysis?game_id=1434990&ply=43
0016,1876743,26,allowed,rn1q1rk1/pbp2ppp/1p2p3/8/2QP4/2B2PN1/PP4PP/R3K2R w KQ - 1 14,e1g1,b7a6 c4a4 a6f1 d4d5 f1d3 d5e6 f7e6 g3h5 d8d7 a4h4 b8c6 c3g7,Ba6 Qa4 [Bxf1] d5 Bd3 dxe6 fxe6 Nh5 Qd7 Qh4 Nc6 Bxg7,4,skewer,2,black,354,real,Solver is winning (354cp) at the firing node on an already-high-precision motif; the geometry is genuinely present and exploitable.,https://lichess.org/analysis/standard/rn1q1rk1/pbp2ppp/1p2p3/8/2QP4/2B2PN1/PP4PP/R3K2R_w_KQ_-_1_14,https://flawchess.com/analysis?game_id=1876743&ply=26
0017,672432,25,allowed,r1bqnrk1/pp3pbp/6p1/2nNp1PP/2B5/P2P1N2/1PP2P2/R1BQK2R b KQ - 0 13,f7f6,d5e7 g8h8 e7g6 h7g6 h5g6 c8h3 f3d2 g7h6 d1h5 c5d3 c2d3 h3e6,[Ne7+] Kh8 Nxg6+ hxg6 hxg6+ Bh3 Nd2 Bh6 Qh5 Nxd3+ cxd3 Be6,5,double-check,0,white,M9,real,"Forced mate (M9) for the solver at the firing node — a clearly winning, genuine tactic.",https://lichess.org/analysis/standard/r1bqnrk1/pp3pbp/6p1/2nNp1PP/2B5/P2P1N2/1PP2P2/R1BQK2R_b_KQ_-_0_13,https://flawchess.com/analysis?game_id=672432&ply=25
0018,472270,30,allowed,r3k2r/pp2qp1p/2b3p1/3Qn3/8/5P2/PPP3PP/R3KBNR w KQkq - 1 16,d5d2,e5f3 e1f2 f3d2 a1e1 d2e4 e1e4 e7e4 g1f3 e4c2 f2g3 e8g8 h2h4,[Nxf3+] Kf2 Nxd2 Re1 Ne4+ Rxe4 Qxe4 Nf3 Qxc2+ Kg3 O-O h4,5,double-check,0,black,882,real,Solver is winning (882cp) at the firing node on an already-high-precision motif; the geometry is genuinely present and exploitable.,https://lichess.org/analysis/standard/r3k2r/pp2qp1p/2b3p1/3Qn3/8/5P2/PPP3PP/R3KBNR_w_KQkq_-_1_16,https://flawchess.com/analysis?game_id=472270&ply=30
0019,2329310,32,allowed,1r1qk2r/3n1pbp/p5p1/3B4/Q2P4/8/PP1B1P1P/R3K1N1 w Qk - 1 17,e1c1,e8g8 d5b3 d7b6 a4a6 d8d4 d2c3 d4f4 c1c2 g7c3 b2c3 f8d8 d1d8,O-O Bb3 Nb6 [Qxa6] Qxd4 Bc3 Qf4+ Kc2 Bxc3 bxc3 Rfd8 Rxd8+,6,discovered-attack,3,black,398,real,Solver is winning (398cp) at the firing node on an already-high-precision motif; the geometry is genuinely present and exploitable.,https://lichess.org/analysis/standard/1r1qk2r/3n1pbp/p5p1/3B4/Q2P4/8/PP1B1P1P/R3K1N1_w_Qk_-_1_17,https://flawchess.com/analysis?game_id=2329310&ply=32
0020,550367,16,allowed,r2q1rk1/pppnnpbp/3pb1p1/4p3/4P3/1PNP1N1P/P1P1BPP1/R1BQ1RK1 w - - 1 9,c3d5,e6d5 e4d5 e5e4 d3e4 g7a1 f3d4 c7c5 d4b5 a1g7 b5d6 d7e5 d6c4,Bxd5 exd5 e4 [dxe4] Bxa1 Nd4 c5 Nb5 Bg7 Nxd6 Ne5 Nc4,6,discovered-attack,3,black,288,real,Solver is winning (288cp) at the firing node on an already-high-precision motif; the geometry is genuinely present and exploitable.,https://lichess.org/analysis/standard/r2q1rk1/pppnnpbp/3pb1p1/4p3/4P3/1PNP1N1P/P1P1BPP1/R1BQ1RK1_w_-_-_1_9,https://flawchess.com/analysis?game_id=550367&ply=16
0021,2374305,28,missed,2kr3r/pp1nbppp/2p1p3/8/P1BPQB2/1Pq4P/2P2PP1/R4RK1 b - - 0 14,e7f6,e4c6 b7c6 c4a6,Qxc6+ bxc6 [Ba6#],22,boden-mate,2,white,M1,real,"Forced mate (M1) for the solver at the firing node — a clearly winning, genuine tactic.",https://lichess.org/analysis/standard/2kr3r/pp1nbppp/2p1p3/8/P1BPQB2/1Pq4P/2P2PP1/R4RK1_b_-_-_0_14,https://flawchess.com/analysis?game_id=2374305&ply=27
0022,1564222,38,allowed,2kr1r2/ppp3Q1/1q5p/4R3/8/2BP4/PPP2PPP/R5K1 w - - 1 20,g7h6,b6f2 g1h1 f2f1 a1f1 f8f1,Qxf2+ Kh1 Qf1+ Rxf1 [Rxf1#],7,back-rank-mate,4,black,M1,real,"Forced mate (M1) for the solver at the firing node — a clearly winning, genuine tactic.",https://lichess.org/analysis/standard/2kr1r2/ppp3Q1/1q5p/4R3/8/2BP4/PPP2PPP/R5K1_w_-_-_1_20,https://flawchess.com/analysis?game_id=1564222&ply=38
0023,2395346,41,allowed,r4k1r/p3npp1/2nQ3p/1p1Rp1q1/8/7P/PPP2PP1/4R1K1 b - - 4 21,a8d8,d6d8 c6d8 d5d8,Qxd8+ Nxd8 [Rxd8#],7,back-rank-mate,2,white,M1,real,"Forced mate (M1) for the solver at the firing node — a clearly winning, genuine tactic.",https://lichess.org/analysis/standard/r4k1r/p3npp1/2nQ3p/1p1Rp1q1/8/7P/PPP2PP1/4R1K1_b_-_-_4_21,https://flawchess.com/analysis?game_id=2395346&ply=41
0024,2273843,16,allowed,rn2k1nr/ppp1pNbp/3p2p1/8/4PP2/8/PPPPB1qP/RNBK3R w kq - 0 9,f7h8,g2h1 e2f1 h1f1,Qxh1+ Bf1 [Qxf1#],8,mate,2,black,M1,real,"Forced mate (M1) for the solver at the firing node — a clearly winning, genuine tactic.",https://lichess.org/analysis/standard/rn2k1nr/ppp1pNbp/3p2p1/8/4PP2/8/PPPPB1qP/RNBK3R_w_kq_-_0_9,https://flawchess.com/analysis?game_id=2273843&ply=16
0025,766771,52,allowed,4Q3/6k1/pp1p1qpp/2pP4/2P2b2/5B1P/P5P1/7K w - - 0 27,e8b8,f6a1 f3d1 a1d1,Qa1+ Bd1 [Qxd1#],8,mate,2,black,M1,real,"Forced mate (M1) for the solver at the firing node — a clearly winning, genuine tactic.",https://lichess.org/analysis/standard/4Q3/6k1/pp1p1qpp/2pP4/2P2b2/5B1P/P5P1/7K_w_-_-_0_27,https://flawchess.com/analysis?game_id=766771&ply=52
0026,1533624,29,missed,r2r2k1/pp2ppbp/2q3p1/8/8/3QBP2/PPP3PP/2KR3R w - - 1 15,d3d8,c6e8 d8e8 a8e8 e3a7 e8a8 a7e3 h7h5 c1b1 a8a5 c2c3 h5h4 d1d8,Qe8 Qxe8+ [Rxe8] Bxa7 Ra8 Be3 h5 Kb1 Ra5 c3 h4 Rd8+,12,x-ray,2,black,-622,incidental,Solver losing (-622cp) at the firing node.,https://lichess.org/analysis/standard/r2r2k1/pp2ppbp/2q3p1/8/8/3QBP2/PPP3PP/2KR3R_w_-_-_1_15,https://flawchess.com/analysis?game_id=1533624&ply=28
0027,1588086,65,allowed,6k1/pp6/1b2q1r1/1P1p4/3P2P1/P3p3/8/2RQK2R b - - 1 33,g6g4,d1f3 e3e2 c1c8 e6c8 f3d5 g8g7 d5e5 g7g6 e5h5 g6f6 h5e5,Qf3 e2 Rc8+ Qxc8 [Qxd5+] Kg7 Qe5+ Kg6 Qh5+ Kf6 Qe5+,9,deflection,4,white,0,real,Solver is winning (0cp) at the firing node on an already-high-precision motif; the geometry is genuinely present and exploitable.,https://lichess.org/analysis/standard/6k1/pp6/1b2q1r1/1P1p4/3P2P1/P3p3/8/2RQK2R_b_-_-_1_33,https://flawchess.com/analysis?game_id=1588086&ply=65
0028,875884,61,allowed,4R3/pr4k1/3Q1bp1/q1p2p2/P7/1P6/N1P3PP/7K b - - 0 31,a5c7,d6f8 g7h7 f8f6 c7g7 f6h4 g7h6 e8h8 h7h8 h4h6 h8g8 h6g6 b7g7,Qf8+ Kh7 [Qxf6] Qg7 Qh4+ Qh6 Rh8+ Kxh8 Qxh6+ Kg8 Qxg6+ Rg7,9,deflection,2,white,757,real,Solver is winning (757cp) at the firing node on an already-high-precision motif; the geometry is genuinely present and exploitable.,https://lichess.org/analysis/standard/4R3/pr4k1/3Q1bp1/q1p2p2/P7/1P6/N1P3PP/7K_b_-_-_0_31,https://flawchess.com/analysis?game_id=875884&ply=61
0029,2144956,5,allowed,r1bqkbnr/pppnpppp/3p4/8/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,g7g6,c4f7 e8f7 f3g5 f7e8 g5e6 b7b6 e6d8 e8d8 e1g1 c8a6 d2d3 f8g7,[Bxf7+] Kxf7 Ng5+ Ke8 Ne6 b6 Nxd8 Kxd8 O-O Ba6 d3 Bg7,10,attraction,0,white,430,real,Solver is winning (430cp) at the firing node on an already-high-precision motif; the geometry is genuinely present and exploitable.,https://lichess.org/analysis/standard/r1bqkbnr/pppnpppp/3p4/8/2B1P3/5N2/PPPP1PPP/RNBQK2R_b_KQkq_-_3_3,https://flawchess.com/analysis?game_id=2144956&ply=5
0030,2044661,40,allowed,4rrk1/ppp2pp1/3p3p/6n1/2B1P1b1/P1PPQ1P1/3NqP1K/R4R2 w - - 3 21,a1e1,e2d2 e3d2 g5f3 h2g2 f3d2 f2f3 d2f1 f3g4 f1d2 c4a2 c7c6 e1e2,[Qxd2] Qxd2 Nf3+ Kg2 Nxd2 f3 Nxf1 fxg4 Nd2 Ba2 c6 Re2,10,attraction,0,black,554,real,Solver is winning (554cp) at the firing node on an already-high-precision motif; the geometry is genuinely present and exploitable.,https://lichess.org/analysis/standard/4rrk1/ppp2pp1/3p3p/6n1/2B1P1b1/P1PPQ1P1/3NqP1K/R4R2_w_-_-_3_21,https://flawchess.com/analysis?game_id=2044661&ply=40
0031,1920119,13,allowed,rnbqk2r/ppp1bp2/4pn1p/3p4/3P2PB/2P2P2/PP1QP2P/RN2KBNR b KQkq - 3 7,f6g4,h4e7 d8e7 f3g4 e6e5 d2e3 b8c6 b1a3 c8g4 e1c1 h6h5 g1f3 e5e4,Bxe7 Qxe7 [fxg4] e5 Qe3 Nc6 Na3 Bxg4 O-O-O h5 Nf3 e4,11,intermezzo,2,white,310,real,"fxg4 is a genuine in-between capture (grabbing material elsewhere instead of an expected recapture), position +310cp.",https://lichess.org/analysis/standard/rnbqk2r/ppp1bp2/4pn1p/3p4/3P2PB/2P2P2/PP1QP2P/RN2KBNR_b_KQkq_-_3_7,https://flawchess.com/analysis?game_id=1920119&ply=13
0032,482590,47,allowed,4r2r/ppp3pk/2n2n1p/3Np3/5P2/PB1PQP1q/1PP4P/R5RK b - - 0 24,e5f4,d5f6 g7f6 e3f4 e8e2 d3d4 f6f5 b3c4 e2e7 g1g3 h3h5 a1g1 h8d8,Nxf6+ gxf6 [Qxf4] Re2 d4 f5 Bc4 Re7 Rg3 Qh5 Rag1 Rd8,11,intermezzo,2,white,none,real,Nxf6+/gxf6 damages the opponent's king shelter and Qxf4 is a genuine in-between capture continuing the attack (Rg3/Qh5 follow-up).,https://lichess.org/analysis/standard/4r2r/ppp3pk/2n2n1p/3Np3/5P2/PB1PQP1q/1PP4P/R5RK_b_-_-_0_24,https://flawchess.com/analysis?game_id=482590&ply=47
0033,2128982,43,allowed,r4rk1/pq3ppp/2R1pb2/3P4/8/1BP2Q1P/P4PP1/5RK1 b - - 0 22,e6d5,c6f6 g7f6 b3d5 b7c8 d5a8 c8a8 f3f6 a8d8 f6f3 f8e8 f1d1 d8c7,Rxf6 gxf6 [Bxd5] Qc8 Bxa8 Qxa8 Qxf6 Qd8 Qf3 Re8 Rd1 Qc7,11,intermezzo,2,white,390,real,"Bxd5 (in-between) is followed by Bxa8 winning the exchange, +390cp.",https://lichess.org/analysis/standard/r4rk1/pq3ppp/2R1pb2/3P4/8/1BP2Q1P/P4PP1/5RK1_b_-_-_0_22,https://flawchess.com/analysis?game_id=2128982&ply=43
0034,2378392,53,allowed,2k5/p7/2q5/1p3p1Q/N3p3/1P2P2P/P1r2PPK/8 b - - 0 27,b5a4,h5f5 c8b7 b3a4 c2c5 f5f8 c6c8 f8f6 c8c7 g2g3 c7e5 f6f7 b7b6,Qxf5+ Kb7 [bxa4] Rc5 Qf8 Qc8 Qf6 Qc7+ g3 Qe5 Qf7+ Kb6,11,intermezzo,2,white,-285,incidental,Solver losing (-285cp) at the firing node.,https://lichess.org/analysis/standard/2k5/p7/2q5/1p3p1Q/N3p3/1P2P2P/P1r2PPK/8_b_-_-_0_27,https://flawchess.com/analysis?game_id=2378392&ply=53
0035,1990877,64,allowed,6rk/4R1r1/2p2Q1p/8/2PK4/3P4/7P/8 w - - 0 33,e7g7,c6c5 d4c5 g8g7 f6h6 h8g8 h6e6 g8f8 e6f6 g7f7 f6d8 f8g7 d3d4,c5+ Kxc5 [Rxg7] Qxh6+ Kg8 Qe6+ Kf8 Qf6+ Rf7 Qd8+ Kg7 d4,11,intermezzo,2,black,-778,incidental,Solver losing (-778cp) at the firing node.,https://lichess.org/analysis/standard/6rk/4R1r1/2p2Q1p/8/2PK4/3P4/7P/8_w_-_-_0_33,https://flawchess.com/analysis?game_id=1990877&ply=64
0036,641212,33,allowed,1rbr2k1/p1q2pbp/2nNp1p1/1p2P1N1/3p1Q2/8/PPP2PBP/R3R1K1 b - - 3 17,c6e5,d6f7 d8f8 e1e5 h7h6 f7h6 g7h6 f4g3 f8f5 e5e6 c7g3 e6g6 g8f8,Ndxf7 Rf8 [Rxe5] h6 Nxh6+ Bxh6 Qg3 Rf5 Rxe6 Qxg3 Rxg6+ Kf8,11,intermezzo,2,white,101,real,Rxe5 in-between capture is part of a material-grabbing sequence (further Rxe6) ending +101cp.,https://lichess.org/analysis/standard/1rbr2k1/p1q2pbp/2nNp1p1/1p2P1N1/3p1Q2/8/PPP2PBP/R3R1K1_b_-_-_3_17,https://flawchess.com/analysis?game_id=641212&ply=33
0037,2334424,36,allowed,r1bqr1k1/1pp2p1p/1b1n2p1/pP2p3/P2P2P1/2PBQN2/1B3P1P/R3R1K1 w - - 0 19,f3e5,f7f6 c3c4 e8e5 e3f4 e5e1 a1e1 c7c5 b5c6 d6f7 d4d5 b6c7 f4f6,f6 c4 [Rxe5] Qf4 Rxe1+ Rxe1 c5 bxc6 Nf7 d5 Bc7 Qxf6,11,intermezzo,2,black,-60,incidental,"Eval is slightly negative (-60cp) at the firing node — not winning, so the necessary 'not losing' condition fails.",https://lichess.org/analysis/standard/r1bqr1k1/1pp2p1p/1b1n2p1/pP2p3/P2P2P1/2PBQN2/1B3P1P/R3R1K1_w_-_-_0_19,https://flawchess.com/analysis?game_id=2334424&ply=36
0038,1162938,52,allowed,3n4/1pp1k1rp/4p3/pP1p1p2/3P4/P3PBr1/2P2KP1/6RR w - - 1 27,h1h7,g3f3 g2f3 g7h7 g1g8 d8f7 f2g3 f7d6 g3f4 d6b5 f4g5 e7d7 g5g6,Rxf3+ gxf3 [Rxh7] Rg8 Nf7 Kg3 Nd6 Kf4 Nxb5 Kg5 Kd7 Kg6,11,intermezzo,2,black,459,real,"Rxh7 in-between capture is followed by Nxb5, continued material gains at +459cp.",https://lichess.org/analysis/standard/3n4/1pp1k1rp/4p3/pP1p1p2/3P4/P3PBr1/2P2KP1/6RR_w_-_-_1_27,https://flawchess.com/analysis?game_id=1162938&ply=52
0039,1545784,46,allowed,r4rk1/p1p3p1/2p2qp1/3p4/1b1B4/6P1/P1P1B2P/1R1QK3 w - - 2 24,c2c3,b4c3 d4c3 f6c3 d1d2 c3e5 d2b2 e5e3 b2b3 e3f2 e1d2 a8e8 b3d3,Bxc3+ Bxc3 [Qxc3+] Qd2 Qe5 Qb2 Qe3 Qb3 Qf2+ Kd2 Rae8 Qd3,12,x-ray,2,black,628,real,"Qxc3+ is a clean x-ray recapture with check after the bishop trade, +628cp.",https://lichess.org/analysis/standard/r4rk1/p1p3p1/2p2qp1/3p4/1b1B4/6P1/P1P1B2P/1R1QK3_w_-_-_2_24,https://flawchess.com/analysis?game_id=1545784&ply=46
0040,1405455,45,allowed,r2r3k/1bq1R1pp/p7/3p4/1Q6/P1P5/1P3PPP/3R2K1 b - - 2 23,a6a5,b4b7 c7b7 e7b7 h8g8 b7b5 a5a4 h2h4 g8f7 d1d4 a8b8 d4d5 h7h6,Qxb7 Qxb7 [Rxb7] Kg8 Rb5 a4 h4 Kf7 Rd4 Rab8 Rdxd5 h6,12,x-ray,2,white,451,real,"Rxb7 is a clean x-ray recapture behind the queen trade, +451cp.",https://lichess.org/analysis/standard/r2r3k/1bq1R1pp/p7/3p4/1Q6/P1P5/1P3PPP/3R2K1_b_-_-_2_23,https://flawchess.com/analysis?game_id=1405455&ply=45
0041,1904718,63,allowed,4r3/p1r2pk1/2p3pp/2Pn4/3PN1P1/5PK1/P3R3/4R3 b - - 2 32,c7e7,e4d6 e7e2 d6e8 e2e8 e1e8 h6h5 e8a8 h5g4 a8a7 d5c3 f3g4 g7f6,Nd6 Rxe2 Nxe8+ Rxe8 [Rxe8] h5 Ra8 hxg4 Rxa7 Nc3 fxg4 Kf6,12,x-ray,4,white,465,real,"Rxe8 is a clean x-ray recapture after the knight trade, +465cp.",https://lichess.org/analysis/standard/4r3/p1r2pk1/2p3pp/2Pn4/3PN1P1/5PK1/P3R3/4R3_b_-_-_2_32,https://flawchess.com/analysis?game_id=1904718&ply=63
